university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
pucv_cl,595803967.0,luissebastianva,1,42,1,Thu May 31 20:28:27 +0000 2012
pucv_cl,124474763.0,Sercotec_Chile,26455,26507,149269,Fri Mar 19 14:24:25 +0000 2010
pucv_cl,103657656.0,_teresiiitha,1331,212,62,Sun Jan 10 20:24:43 +0000 2010
pucv_cl,533235486.0,19Henriquez,1,56,12,Thu Mar 22 13:40:17 +0000 2012
pucv_cl,513542678.0,Isabella_Galaz,44,521,125,Sat Mar 03 20:06:16 +0000 2012
pucv_cl,67167946.0,Polytaarayah,299,1276,380,Thu Aug 20 00:03:48 +0000 2009
pucv_cl,594979983.0,CarlitaMindhy,31,97,71,Wed May 30 20:50:09 +0000 2012
pucv_cl,202856686.0,dplunkk,841,323,113,Thu Oct 14 23:59:20 +0000 2010
pucv_cl,586431674.0,DavidMoyaQS,260,1280,160,Mon May 21 10:26:08 +0000 2012
pucv_cl,568656266.0,MatiRS_92,7032,1048,736,Wed May 02 00:26:07 +0000 2012
pucv_cl,93846640.0,Yoyomedusa,109,155,48,Tue Dec 01 12:11:27 +0000 2009
pucv_cl,219367464.0,ABBenChile,8098,3645,5200,Wed Nov 24 17:29:53 +0000 2010
pucv_cl,266262752.0,AlbanezSilva,558,384,125,Mon Mar 14 23:29:31 +0000 2011
pucv_cl,583457975.0,ayinpecof,187,192,58,Fri May 18 04:27:45 +0000 2012
pucv_cl,555224216.0,Despegaideas,126,186,91,Mon Apr 16 15:58:25 +0000 2012
pucv_cl,574226905.0,Yenni_Escobedo,117,214,50,Tue May 08 05:32:05 +0000 2012
pucv_cl,204147782.0,sebapenam,82,518,65,Mon Oct 18 01:22:18 +0000 2010
pucv_cl,508935857.0,deloitteempleos,658,96,1029,Wed Feb 29 15:16:13 +0000 2012
pucv_cl,147446625.0,seba_patito,120,118,31,Mon May 24 04:45:44 +0000 2010
pucv_cl,321058013.0,RovaFBeats,75,158,49,Mon Jun 20 23:35:57 +0000 2011
pucv_cl,591515188.0,domnguez_hctor,0,10,2,Sun May 27 04:40:06 +0000 2012
pucv_cl,591325106.0,TUaprendes,60,57,51,Sat May 26 23:06:01 +0000 2012
pucv_cl,561355992.0,diegorozasiegel,341,376,87,Mon Apr 23 16:28:26 +0000 2012
pucv_cl,118840196.0,Lolitomorales,1875,592,265,Mon Mar 01 22:20:59 +0000 2010
pucv_cl,368209904.0,novakbustos,369,715,73,Mon Sep 05 08:09:34 +0000 2011
pucv_cl,590624073.0,mi10van,1011,644,256,Sat May 26 03:12:21 +0000 2012
pucv_cl,188957002.0,caritodevalpo,1795,1066,274,Fri Sep 10 00:36:05 +0000 2010
pucv_cl,567015147.0,saracontrerasc,123,1031,462,Mon Apr 30 05:25:43 +0000 2012
pucv_cl,56181915.0,rfariasp,245,173,94,Sun Jul 12 20:25:05 +0000 2009
pucv_cl,26633277.0,MackWatson,3060,274,122,Wed Mar 25 23:57:21 +0000 2009
pucv_cl,27557258.0,squirrelGisse,1076,598,158,Mon Mar 30 01:49:04 +0000 2009
pucv_cl,165219744.0,carlos_diogneto,6602,1709,862,Sat Jul 10 23:46:56 +0000 2010
pucv_cl,583562820.0,ClacPedales,135,47,57,Fri May 18 05:06:36 +0000 2012
pucv_cl,70496800.0,llonilandia,150,86,109,Mon Aug 31 20:50:35 +0000 2009
pucv_cl,274164933.0,yopuedolograrlo,16343,572,278,Tue Mar 29 21:19:14 +0000 2011
pucv_cl,554821579.0,juacofernandezn,89,166,42,Mon Apr 16 03:03:32 +0000 2012
pucv_cl,459446176.0,c_maturana,2695,219,226,Mon Jan 09 17:37:41 +0000 2012
pucv_cl,173713134.0,GianniBelen,27,578,185,Mon Aug 02 04:48:05 +0000 2010
pucv_cl,264293317.0,arquideasnews,6216,333,4819,Fri Mar 11 17:21:39 +0000 2011
pucv_cl,55436542.0,flerzund,61869,1863,3059,Fri Jul 10 02:02:33 +0000 2009
pucv_cl,131697327.0,CapitanaLorena,15542,1031,286,Sun Apr 11 02:15:36 +0000 2010
